term,log_odds,corpus 1,corpus 2,count 1,count 2
who,-25.43451910402919,trump,harris,747,899
for,-23.389855512176716,trump,harris,2303,1667
trump,-23.25877507630938,trump,harris,331,566
donald,-23.180406032146742,trump,harris,70,467
is,-22.57242033694376,trump,harris,3044,1990
donald trump,-22.294841068761563,trump,harris,51,467
work,-21.23753623433896,trump,harris,193,419
president,-21.137797209166997,trump,harris,636,694
of,-19.75367604643228,trump,harris,6850,3515
fight,-17.837927579661823,trump,harris,104,277
states,-17.603717984697095,trump,harris,405,460
united states,-17.530378915626446,trump,harris,315,403
that is,-17.169833834946516,trump,harris,97,257
united,-17.160885186683913,trump,harris,337,408
as,-16.974615374581532,trump,harris,920,730
plan,-16.91796237603799,trump,harris,61,237
the,-16.55869665304287,trump,harris,13577,5974
it is,-16.532015026054783,trump,harris,153,277
the united,-16.447293670476707,trump,harris,318,380
we are,-16.051997264054638,trump,harris,253,331
freedom,-15.821018373707068,trump,harris,25,238
america,-15.560206131263772,trump,harris,561,500
americans,-15.470511569763122,trump,harris,90,215
what we,-15.440219602825428,trump,harris,134,242
has,-15.405708321564248,trump,harris,651,545
of america,-15.332191041284593,trump,harris,65,199
about,-15.173882749022022,trump,harris,1235,834
my,-15.168307610813688,trump,harris,573,497
of the,-14.905949560889958,trump,harris,1157,788
on,-14.69741073555419,trump,harris,1673,1025
the american,-14.678381334382527,trump,harris,106,209
future,-14.65941861313035,trump,harris,46,178
and,-14.629067157038174,trump,harris,12251,5308
fight for,-14.47119543998559,trump,harris,22,195
class,-14.246701939899308,trump,harris,48,169
we know,-13.981730947200104,trump,harris,33,163
middle class,-13.922785778839906,trump,harris,28,165
american people,-13.845870253519054,trump,harris,20,179
economy,-13.791210029279616,trump,harris,116,199
need,-13.66890896303862,trump,harris,222,264
we need,-13.590904503224984,trump,harris,89,178
opportunity,-13.461104349015889,trump,harris,24,157
his,-13.373755613705617,trump,harris,335,325
need to,-13.289864333686765,trump,harris,20,160
our nation,-13.141210452584604,trump,harris,33,143
leaders,-13.096044207091422,trump,harris,36,142
middle,-12.733441615418313,trump,harris,121,184
