term,log_odds,corpus 1,corpus 2,count 1,count 2
insulting,-1.619528681361361,trump,harris,4,4
semitic,-1.619528681361361,trump,harris,4,4
regular,-1.619528681361361,trump,harris,4,4
minimum,-1.619528681361361,trump,harris,4,4
early,-1.6146167516813466,trump,harris,28,15
secure,-1.6146167516813466,trump,harris,28,15
existing,-1.604286515984553,trump,harris,0,21
immoral,-1.593292881203451,trump,harris,0,20
territorial,-1.5430030631337093,trump,harris,0,16
entire,-1.5186791366472372,trump,harris,49,23
liable,-1.512897707150067,trump,harris,0,14
israeli,-1.512897707150067,trump,harris,0,14
fearless,-1.5057388661472768,trump,harris,1,2
union,-1.5057388661472768,trump,harris,1,2
urban,-1.5057388661472768,trump,harris,1,2
adamant,-1.5057388661472768,trump,harris,1,2
actual,-1.5057388661472768,trump,harris,1,2
inspiring,-1.5057388661472768,trump,harris,1,2
divisive,-1.5057388661472768,trump,harris,1,2
urgent,-1.5057388661472768,trump,harris,1,2
conscious,-1.5057388661472768,trump,harris,1,2
firsthand,-1.5057388661472768,trump,harris,1,2
about,-1.5057388661472768,trump,harris,1,2
warm,-1.5057388661472768,trump,harris,1,2
operational,-1.5057388661472768,trump,harris,1,2
palestinian,-1.5057388661472768,trump,harris,1,2
lethal,-1.4961848113701655,trump,harris,0,13
international,-1.4961848113701655,trump,harris,0,13
safe,-1.4879171549182604,trump,harris,119,49
profound,-1.4584953108694412,trump,harris,0,11
comprehensive,-1.4584953108694412,trump,harris,0,11
thankful,-1.4369812316997332,trump,harris,0,10
unstable,-1.4131880444795897,trump,harris,0,9
joyful,-1.4131880444795897,trump,harris,0,9
several,-1.4053267219795877,trump,harris,3,3
loyal,-1.4053267219795877,trump,harris,3,3
ethic,-1.3865751994720363,trump,harris,0,8
intergenerational,-1.3865751994720363,trump,harris,0,8
much,-1.379024433762327,trump,harris,152,60
desperate,-1.375307239389841,trump,harris,5,4
european,-1.375307239389841,trump,harris,5,4
rare,-1.375307239389841,trump,harris,5,4
unnecessary,-1.375307239389841,trump,harris,5,4
civic,-1.3563839734033907,trump,harris,0,7
unserious,-1.3563839734033907,trump,harris,0,7
maternal,-1.3563839734033907,trump,harris,0,7
vital,-1.3215017372931774,trump,harris,0,6
stable,-1.3215017372931774,trump,harris,0,6
generational,-1.3215017372931774,trump,harris,0,6
awesome,-1.3215017372931774,trump,harris,0,6
eld,-1.3215017372931774,trump,harris,0,6
fleeting,-1.3215017372931774,trump,harris,0,6
unwavering,-1.3215017372931774,trump,harris,0,6
collective,-1.3215017372931774,trump,harris,0,6
realistic,-1.3215017372931774,trump,harris,0,6
diverse,-1.3215017372931774,trump,harris,0,6
tribal,-1.3215017372931774,trump,harris,0,6
explicit,-1.3215017372931774,trump,harris,0,6
latino,-1.3215017372931774,trump,harris,0,6
pragmatic,-1.2802010800702177,trump,harris,0,5
foundational,-1.2802010800702177,trump,harris,0,5
longstanding,-1.2802010800702177,trump,harris,0,5
accessible,-1.2802010800702177,trump,harris,0,5
unconscionable,-1.2802010800702177,trump,harris,0,5
backward,-1.2802010800702177,trump,harris,0,5
holistic,-1.2295836399543592,trump,harris,0,4
geographic,-1.2295836399543592,trump,harris,0,4
lifelong,-1.2295836399543592,trump,harris,0,4
pressing,-1.2295836399543592,trump,harris,0,4
hateful,-1.2295836399543592,trump,harris,0,4
relative,-1.2295836399543592,trump,harris,0,4
righteous,-1.2295836399543592,trump,harris,0,4
fictional,-1.2295836399543592,trump,harris,0,4
storied,-1.2295836399543592,trump,harris,0,4
isolated,-1.2295836399543592,trump,harris,0,4
troubling,-1.2295836399543592,trump,harris,0,4
transparent,-1.2295836399543592,trump,harris,0,4
tiki,-1.2295836399543592,trump,harris,0,4
consistent,-1.2295836399543592,trump,harris,0,4
transformative,-1.2295836399543592,trump,harris,0,4
continuous,-1.2295836399543592,trump,harris,0,4
contrary,-1.2295836399543592,trump,harris,0,4
late,-1.2137673676568876,trump,harris,22,11
federal,-1.17855754298077,trump,harris,59,25
sure,-1.1752198326176688,trump,harris,92,37
remote,-1.1642080218545825,trump,harris,0,3
traumatic,-1.1642080218545825,trump,harris,0,3
eligible,-1.1642080218545825,trump,harris,0,3
productive,-1.1642080218545825,trump,harris,0,3
exhausting,-1.1642080218545825,trump,harris,0,3
aware,-1.1642080218545825,trump,harris,0,3
classified,-1.1642080218545825,trump,harris,0,3
steadfast,-1.1642080218545825,trump,harris,0,3
unprovoked,-1.1642080218545825,trump,harris,0,3
harmful,-1.1642080218545825,trump,harris,0,3
nationwide,-1.1520479912975232,trump,harris,2,2
broken,-1.1520479912975232,trump,harris,2,2
monthly,-1.1520479912975232,trump,harris,2,2
supportive,-1.1520479912975232,trump,harris,2,2
semitism,-1.1520479912975232,trump,harris,2,2
swift,-1.1520479912975232,trump,harris,2,2
broad,-1.1520479912975232,trump,harris,2,2
ballistic,-1.1520479912975232,trump,harris,2,2
mixed,-1.1520479912975232,trump,harris,2,2
usual,-1.1520479912975232,trump,harris,2,2
educational,-1.1520479912975232,trump,harris,2,2
purple,-1.1520479912975232,trump,harris,2,2
comfortable,-1.1520479912975232,trump,harris,2,2
mere,-1.1520479912975232,trump,harris,2,2
worthy,-1.1473975813196498,trump,harris,6,4
professional,-1.1473975813196498,trump,harris,6,4
modern,-1.1473975813196498,trump,harris,6,4
interested,-1.1473975813196498,trump,harris,6,4
alone,-1.1269405866957223,trump,harris,4,3
busy,-1.1269405866957223,trump,harris,4,3
enslaved,-1.0718508351086797,trump,harris,0,2
powerless,-1.0718508351086797,trump,harris,0,2
transcontinental,-1.0718508351086797,trump,harris,0,2
undiagnosed,-1.0718508351086797,trump,harris,0,2
practically,-1.0718508351086797,trump,harris,0,2
enormous,-1.0718508351086797,trump,harris,0,2
together,-1.0718508351086797,trump,harris,0,2
fifth,-1.0718508351086797,trump,harris,0,2
focused,-1.0718508351086797,trump,harris,0,2
undergraduate,-1.0718508351086797,trump,harris,0,2
predictable,-1.0718508351086797,trump,harris,0,2
eternal,-1.0718508351086797,trump,harris,0,2
ranking,-1.0718508351086797,trump,harris,0,2
chief,-1.0718508351086797,trump,harris,0,2
preschool,-1.0718508351086797,trump,harris,0,2
unburdened,-1.0718508351086797,trump,harris,0,2
quite,-1.0718508351086797,trump,harris,0,2
fallen,-1.0718508351086797,trump,harris,0,2
chaldean,-1.0718508351086797,trump,harris,0,2
charitable,-1.0718508351086797,trump,harris,0,2
extended,-1.0718508351086797,trump,harris,0,2
plus,-1.0718508351086797,trump,harris,0,2
esteemed,-1.0718508351086797,trump,harris,0,2
formative,-1.0718508351086797,trump,harris,0,2
unlikely,-1.0718508351086797,trump,harris,0,2
breakthrough,-1.0718508351086797,trump,harris,0,2
visionary,-1.0718508351086797,trump,harris,0,2
anticompetitive,-1.0718508351086797,trump,harris,0,2
immeasurable,-1.0718508351086797,trump,harris,0,2
immense,-1.0718508351086797,trump,harris,0,2
