term,log_odds,corpus 1,corpus 2,count 1,count 2
joy,-4.421439854930434,trump,harris,5,20
check,-4.398152608571493,trump,harris,20,31
duty,-4.332908111800004,trump,harris,4,19
sector,-4.309836630737084,trump,harris,1,33
cancer,-4.307648183166452,trump,harris,2,21
friendship,-4.3040747068349345,trump,harris,3,19
break,-4.288680986763676,trump,harris,12,24
staff,-4.265601266136639,trump,harris,7,20
matter,-4.257464683187026,trump,harris,11,23
principle,-4.2425946001494435,trump,harris,1,31
worker,-4.235506674844483,trump,harris,111,89
immigration,-4.225951803101306,trump,harris,34,40
secretary,-4.225695400449779,trump,harris,10,22
self,-4.213889352565509,trump,harris,4,18
zelensky,-4.16409374905093,trump,harris,5,18
experience,-4.15279658765675,trump,harris,17,27
responsibility,-4.091142745586092,trump,harris,3,17
priority,-4.0674804009534,trump,harris,2,18
consequence,-4.0674804009534,trump,harris,2,18
stability,-3.9782241742795468,trump,harris,2,17
optimism,-3.9751258164580103,trump,harris,3,16
supply,-3.9751258164580103,trump,harris,3,16
manufacturing,-3.9664183804686357,trump,harris,55,52
vegas,-3.955279258835381,trump,harris,4,16
buyer,-3.955279258835381,trump,harris,4,16
pregnancy,-3.9198908898642237,trump,harris,1,23
assistance,-3.8834545364296162,trump,harris,2,16
protection,-3.8730897405959017,trump,harris,32,36
stage,-3.815345510694043,trump,harris,40,41
commitment,-3.8140868750707293,trump,harris,4,15
josh,-3.809015924924393,trump,harris,7,17
grocery,-3.7706848911738944,trump,harris,39,40
mob,-3.76897565587542,trump,harris,6,16
clock,-3.7681883011239266,trump,harris,15,23
advisor,-3.7678001102415757,trump,harris,1,20
bret,-3.7678001102415757,trump,harris,1,20
college,-3.731816334036267,trump,harris,44,43
deficit,-3.729740926207728,trump,harris,14,22
bank,-3.729740926207728,trump,harris,14,22
kid,-3.7254946792375216,trump,harris,38,39
norm,-3.7199200706257654,trump,harris,3,14
leave,-3.711818607627418,trump,harris,1,19
skill,-3.67443011796083,trump,harris,2,14
discussion,-3.67443011796083,trump,harris,2,14
calling,-3.652714135273238,trump,harris,1,18
competition,-3.6409295787111313,trump,harris,7,16
privilege,-3.5774060585934366,trump,harris,10,18
harm,-3.558314681895157,trump,harris,2,13
contrast,-3.5571588572683432,trump,harris,5,14
type,-3.5571588572683432,trump,harris,5,14
arizona,-3.5411449187494934,trump,harris,31,33
childcare,-3.5236191219879065,trump,harris,1,16
perspective,-3.5236191219879065,trump,harris,1,16
gaza,-3.5236191219879065,trump,harris,1,16
agent,-3.5197461424987595,trump,harris,13,20
joe,-3.5181703518793035,trump,harris,233,148
school,-3.5166974804450426,trump,harris,128,91
agenda,-3.513425410401609,trump,harris,24,28
decade,-3.500368057781458,trump,harris,27,30
wage,-3.4877859575181542,trump,harris,20,25
crib,-3.4635376751941593,trump,harris,7,15
enemy,-3.4567335039637523,trump,harris,41,39
lewis,-3.4526872929196877,trump,harris,1,15
cheney,-3.4526872929196877,trump,harris,1,15
seal,-3.4526872929196877,trump,harris,1,15
client,-3.4328719606448903,trump,harris,2,12
battle,-3.4263841368791836,trump,harris,3,12
grandparent,-3.4263841368791836,trump,harris,3,12
pledge,-3.4263841368791836,trump,harris,3,12
flint,-3.4263841368791836,trump,harris,3,12
cooper,-3.42380050623049,trump,harris,6,14
door,-3.394780272704153,trump,harris,18,23
oath,-3.3859091626275566,trump,harris,14,20
table,-3.3807146392218246,trump,harris,5,13
congresswoman,-3.3807146392218246,trump,harris,5,13
degree,-3.3565729917874934,trump,harris,9,16
senator,-3.334260197696461,trump,harris,89,67
count,-3.3300074437405134,trump,harris,4,12
will,-3.3300074437405134,trump,harris,4,12
society,-3.3300074437405134,trump,harris,4,12
our,-3.3300074437405134,trump,harris,4,12
commander,-3.3300074437405134,trump,harris,4,12
mate,-3.3300074437405134,trump,harris,4,12
debt,-3.3182662053436465,trump,harris,41,38
consumer,-3.3162350935039204,trump,harris,8,15
form,-3.300224288485288,trump,harris,16,21
capitol,-3.296901082560257,trump,harris,12,18
fentanyl,-3.296901082560257,trump,harris,12,18
landlord,-3.2949317060206944,trump,harris,1,13
bunch,-3.275835088376256,trump,harris,7,14
seat,-3.2533969797730635,trump,harris,22,25
title,-3.208150513784033,trump,harris,10,16
flow,-3.206415847143672,trump,harris,1,12
source,-3.206415847143672,trump,harris,1,12
finger,-3.206415847143672,trump,harris,1,12
nebraska,-3.206415847143672,trump,harris,1,12
oval,-3.204299468506114,trump,harris,14,19
israel,-3.194655924587415,trump,harris,118,82
hate,-3.1917892903154605,trump,harris,5,12
sister,-3.1640637475428623,trump,harris,9,15
journalist,-3.1473545198671986,trump,harris,2,10
abuse,-3.119773500218221,trump,harris,16,20
bankruptcy,-3.109983596419318,trump,harris,1,11
credit,-3.0998409926406185,trump,harris,50,42
wealth,-3.088795695667704,trump,harris,42,37
loss,-3.081807809904075,trump,harris,3,10
system,-3.075391266421362,trump,harris,62,49
state,-3.045023875595234,trump,harris,328,190
reduction,-3.0330458611477202,trump,harris,6,12
oakland,-3.0330458611477202,trump,harris,6,12
integrity,-3.0330458611477202,trump,harris,6,12
model,-3.0041231249651816,trump,harris,1,10
silver,-3.0041231249651816,trump,harris,1,10
poland,-3.0041231249651816,trump,harris,1,10
obligation,-2.9827617552070915,trump,harris,2,9
presidency,-2.968231362477277,trump,harris,26,26
taliban,-2.962737299078793,trump,harris,13,17
representative,-2.9612227067729253,trump,harris,9,14
room,-2.957757078735966,trump,harris,81,59
violation,-2.9411915164081663,trump,harris,4,10
fighting,-2.9411915164081663,trump,harris,4,10
execution,-2.9411915164081663,trump,harris,4,10
running,-2.9411915164081663,trump,harris,4,10
las,-2.9411915164081663,trump,harris,4,10
food,-2.9328972846001844,trump,harris,16,19
emergency,-2.9127679368843062,trump,harris,8,13
attention,-2.886853222133741,trump,harris,1,9
termination,-2.886853222133741,trump,harris,1,9
track,-2.88456803425353,trump,harris,3,9
climate,-2.858412274673104,trump,harris,18,20
subject,-2.8555476779007316,trump,harris,11,15
woman,-2.8280144686033353,trump,harris,293,169
dad,-2.816826494959273,trump,harris,6,11
founder,-2.816826494959273,trump,harris,6,11
internet,-2.816826494959273,trump,harris,6,11
poverty,-2.816826494959273,trump,harris,6,11
character,-2.801386877329646,trump,harris,10,14
division,-2.801386877329646,trump,harris,10,14
workforce,-2.7994096118495415,trump,harris,2,8
obstacle,-2.7994096118495415,trump,harris,2,8
mary,-2.7994096118495415,trump,harris,2,8
automaker,-2.7994096118495415,trump,harris,2,8
homeownership,-2.7994096118495415,trump,harris,2,8
