term,log_odds,corpus 1,corpus 2,count 1,count 2
community,-1.8177383148958353,democrat_2024,democrat_2020,133,160
value,-1.8056596877919708,democrat_2024,democrat_2020,22,35
interest,-1.7949683287692477,democrat_2024,democrat_2020,27,41
facility,-1.7881551967914142,democrat_2024,democrat_2020,6,14
culture,-1.7827196447377163,democrat_2024,democrat_2020,2,8
property,-1.7827196447377163,democrat_2024,democrat_2020,2,8
man,-1.7742556917465673,democrat_2024,democrat_2020,4,11
caregiver,-1.7742556917465673,democrat_2024,democrat_2020,4,11
hiv,-1.7742556917465673,democrat_2024,democrat_2020,4,11
benefit,-1.7596382576963292,democrat_2024,democrat_2020,34,49
change,-1.7155171973532393,democrat_2024,democrat_2020,21,33
defense,-1.7096637244913715,democrat_2024,democrat_2020,10,19
contract,-1.6913346528162134,democrat_2024,democrat_2020,5,12
territory,-1.6913346528162134,democrat_2024,democrat_2020,5,12
district,-1.6913346528162134,democrat_2024,democrat_2020,5,12
carbon,-1.6913346528162134,democrat_2024,democrat_2020,5,12
space,-1.6832313052574597,democrat_2024,democrat_2020,3,9
ballot,-1.6832313052574597,democrat_2024,democrat_2020,3,9
operation,-1.6832313052574597,democrat_2024,democrat_2020,3,9
alaska,-1.681828912812404,democrat_2024,democrat_2020,1,6
relation,-1.681828912812404,democrat_2024,democrat_2020,1,6
being,-1.681828912812404,democrat_2024,democrat_2020,1,6
demand,-1.681828912812404,democrat_2024,democrat_2020,1,6
inequality,-1.681828912812404,democrat_2024,democrat_2020,1,6
speech,-1.681828912812404,democrat_2024,democrat_2020,1,6
learner,-1.681828912812404,democrat_2024,democrat_2020,1,6
contribution,-1.681828912812404,democrat_2024,democrat_2020,1,6
union,-1.649187214954728,democrat_2024,democrat_2020,19,30
risk,-1.645377950640938,democrat_2024,democrat_2020,15,25
wage,-1.6185445059675045,democrat_2024,democrat_2020,25,37
accountability,-1.6176312481402297,democrat_2024,democrat_2020,6,13
states,-1.6097558407153736,democrat_2024,democrat_2020,69,87
labor,-1.5954411721287178,democrat_2024,democrat_2020,21,32
hour,-1.5903504886560598,democrat_2024,democrat_2020,2,7
disclosure,-1.5903504886560598,democrat_2024,democrat_2020,2,7
vaccine,-1.5903504886560598,democrat_2024,democrat_2020,2,7
corps,-1.5903504886560598,democrat_2024,democrat_2020,2,7
lending,-1.5903504886560598,democrat_2024,democrat_2020,2,7
test,-1.5903504886560598,democrat_2024,democrat_2020,2,7
activity,-1.5903504886560598,democrat_2024,democrat_2020,2,7
victim,-1.5903504886560598,democrat_2024,democrat_2020,2,7
vote,-1.589762951426983,democrat_2024,democrat_2020,4,10
adult,-1.589762951426983,democrat_2024,democrat_2020,4,10
homeownership,-1.589762951426983,democrat_2024,democrat_2020,4,10
program,-1.5825635614351519,democrat_2024,democrat_2020,83,102
agreement,-1.5792883694292725,democrat_2024,democrat_2020,13,22
power,-1.5707588007459317,democrat_2024,democrat_2020,22,33
emergency,-1.5563643103388123,democrat_2024,democrat_2020,10,18
end,-1.5524157663206206,democrat_2024,democrat_2020,7,14
tribal,-1.5425445415689314,democrat_2024,democrat_2020,14,23
prison,-1.494569980667203,democrat_2024,democrat_2020,8,15
compensation,-1.4892218308616445,democrat_2024,democrat_2020,1,5
bar,-1.4892218308616445,democrat_2024,democrat_2020,1,5
band,-1.4892218308616445,democrat_2024,democrat_2020,1,5
drinking,-1.4892218308616445,democrat_2024,democrat_2020,1,5
injustice,-1.4892218308616445,democrat_2024,democrat_2020,1,5
island,-1.4892218308616445,democrat_2024,democrat_2020,1,5
governor,-1.4892218308616445,democrat_2024,democrat_2020,1,5
network,-1.4892218308616445,democrat_2024,democrat_2020,1,5
upgrade,-1.4892218308616445,democrat_2024,democrat_2020,1,5
stress,-1.4892218308616445,democrat_2024,democrat_2020,1,5
participation,-1.4892218308616445,democrat_2024,democrat_2020,1,5
usps,-1.4892218308616445,democrat_2024,democrat_2020,1,5
freight,-1.4892218308616445,democrat_2024,democrat_2020,1,5
regime,-1.4892218308616445,democrat_2024,democrat_2020,1,5
arm,-1.4892218308616445,democrat_2024,democrat_2020,1,5
mission,-1.4892218308616445,democrat_2024,democrat_2020,1,5
slavery,-1.4892218308616445,democrat_2024,democrat_2020,1,5
peer,-1.4892218308616445,democrat_2024,democrat_2020,1,5
waiting,-1.4892218308616445,democrat_2024,democrat_2020,1,5
expert,-1.483233949353658,democrat_2024,democrat_2020,3,8
mail,-1.483233949353658,democrat_2024,democrat_2020,3,8
international,-1.483233949353658,democrat_2024,democrat_2020,3,8
management,-1.483233949353658,democrat_2024,democrat_2020,3,8
treaty,-1.483233949353658,democrat_2024,democrat_2020,3,8
case,-1.4366456145964337,democrat_2024,democrat_2020,6,12
transgender,-1.4366456145964337,democrat_2024,democrat_2020,6,12
abuse,-1.4366456145964337,democrat_2024,democrat_2020,6,12
decision,-1.4336016661256086,democrat_2024,democrat_2020,13,21
funding,-1.42402772525271,democrat_2024,democrat_2020,53,67
wealth,-1.3993371789575655,democrat_2024,democrat_2020,14,22
economy,-1.3974178458940198,democrat_2024,democrat_2020,56,70
employee,-1.3896953879759288,democrat_2024,democrat_2020,4,9
inequity,-1.3896953879759288,democrat_2024,democrat_2020,4,9
state,-1.380015635331119,democrat_2024,democrat_2020,69,84
pipeline,-1.3721751474841701,democrat_2024,democrat_2020,2,6
deployment,-1.3721751474841701,democrat_2024,democrat_2020,2,6
creation,-1.3721751474841701,democrat_2024,democrat_2020,2,6
matter,-1.3721751474841701,democrat_2024,democrat_2020,2,6
midst,-1.3721751474841701,democrat_2024,democrat_2020,2,6
msi,-1.3721751474841701,democrat_2024,democrat_2020,2,6
discovery,-1.3721751474841701,democrat_2024,democrat_2020,2,6
democratic,-1.3721751474841701,democrat_2024,democrat_2020,2,6
farmworker,-1.3721751474841701,democrat_2024,democrat_2020,2,6
retiree,-1.3721751474841701,democrat_2024,democrat_2020,2,6
reform,-1.3551619743434349,democrat_2024,democrat_2020,11,18
campaign,-1.310741086461189,democrat_2024,democrat_2020,5,10
language,-1.2946677614587412,democrat_2024,democrat_2020,0,16
employment,-1.2830799601950427,democrat_2024,democrat_2020,13,20
barrier,-1.2729375355131827,democrat_2024,democrat_2020,9,15
sector,-1.2624949896739908,democrat_2024,democrat_2020,19,27
staff,-1.261508265141146,democrat_2024,democrat_2020,3,7
representation,-1.261508265141146,democrat_2024,democrat_2020,3,7
development,-1.2604122875654413,democrat_2024,democrat_2020,33,43
mistake,-1.2569837636624612,democrat_2024,democrat_2020,1,4
workers,-1.2569837636624612,democrat_2024,democrat_2020,1,4
component,-1.2569837636624612,democrat_2024,democrat_2020,1,4
scale,-1.2569837636624612,democrat_2024,democrat_2020,1,4
liberty,-1.2569837636624612,democrat_2024,democrat_2020,1,4
concern,-1.2569837636624612,democrat_2024,democrat_2020,1,4
spread,-1.2569837636624612,democrat_2024,democrat_2020,1,4
whistleblower,-1.2569837636624612,democrat_2024,democrat_2020,1,4
indigenous,-1.2569837636624612,democrat_2024,democrat_2020,1,4
sentence,-1.2569837636624612,democrat_2024,democrat_2020,1,4
location,-1.2569837636624612,democrat_2024,democrat_2020,1,4
human,-1.2569837636624612,democrat_2024,democrat_2020,1,4
consultation,-1.2569837636624612,democrat_2024,democrat_2020,1,4
exchange,-1.2569837636624612,democrat_2024,democrat_2020,1,4
clemency,-1.2569837636624612,democrat_2024,democrat_2020,1,4
usda,-1.2569837636624612,democrat_2024,democrat_2020,1,4
animal,-1.2569837636624612,democrat_2024,democrat_2020,1,4
exposure,-1.2569837636624612,democrat_2024,democrat_2020,1,4
passenger,-1.2569837636624612,democrat_2024,democrat_2020,1,4
access,-1.2549866257039153,democrat_2024,democrat_2020,64,77
land,-1.2518384443120705,democrat_2024,democrat_2020,26,35
response,-1.2516586513752916,democrat_2024,democrat_2020,14,21
immigration,-1.2355532975658334,democrat_2024,democrat_2020,27,36
center,-1.1925629856826965,democrat_2024,democrat_2020,11,17
grant,-1.1925629856826965,democrat_2024,democrat_2020,11,17
competitiveness,-1.1889598696037234,democrat_2024,democrat_2020,0,10
housing,-1.1861513521677371,democrat_2024,democrat_2020,62,74
ownership,-1.1714398229289331,democrat_2024,democrat_2020,4,8
principle,-1.1714398229289331,democrat_2024,democrat_2020,4,8
sex,-1.1714398229289331,democrat_2024,democrat_2020,4,8
purpose,-1.1652484838779025,democrat_2024,democrat_2020,0,9
pollution,-1.1487044483951747,democrat_2024,democrat_2020,18,25
frontline,-1.1387341967576408,democrat_2024,democrat_2020,0,8
self,-1.1377250077107601,democrat_2024,democrat_2020,8,13
trade,-1.127437554068941,democrat_2024,democrat_2020,13,19
federal,-1.1207880936191688,democrat_2024,democrat_2020,2,5
section,-1.1207880936191688,democrat_2024,democrat_2020,2,5
marketplace,-1.1207880936191688,democrat_2024,democrat_2020,2,5
well,-1.1207880936191688,democrat_2024,democrat_2020,2,5
wildlife,-1.1207880936191688,democrat_2024,democrat_2020,2,5
literacy,-1.1207880936191688,democrat_2024,democrat_2020,2,5
afghanistan,-1.1207880936191688,democrat_2024,democrat_2020,2,5
greenhouse,-1.1207880936191688,democrat_2024,democrat_2020,2,5
uniform,-1.1207880936191688,democrat_2024,democrat_2020,2,5
adoption,-1.1207880936191688,democrat_2024,democrat_2020,2,5
services,-1.1207880936191688,democrat_2024,democrat_2020,2,5
isis,-1.1207880936191688,democrat_2024,democrat_2020,2,5
convention,-1.1207880936191688,democrat_2024,democrat_2020,2,5
insecurity,-1.1207880936191688,democrat_2024,democrat_2020,2,5
death,-1.0983596321426632,democrat_2024,democrat_2020,5,9
violation,-1.0983596321426632,democrat_2024,democrat_2020,5,9
unemployment,-1.0983596321426632,democrat_2024,democrat_2020,5,9
age,-1.0983596321426632,democrat_2024,democrat_2020,5,9
minority,-1.0947904411005802,democrat_2024,democrat_2020,9,14
disaster,-1.0947904411005802,democrat_2024,democrat_2020,9,14
enforcement,-1.077877667817122,democrat_2024,democrat_2020,30,38
pharmaceutical,-1.0739411565097154,democrat_2024,democrat_2020,0,6
chippewa,-1.0739411565097154,democrat_2024,democrat_2020,0,6
counterterrorism,-1.0739411565097154,democrat_2024,democrat_2020,0,6
tribes,-1.0739411565097154,democrat_2024,democrat_2020,0,6
indians,-1.0739411565097154,democrat_2024,democrat_2020,0,6
concentration,-1.0739411565097154,democrat_2024,democrat_2020,0,6
census,-1.0739411565097154,democrat_2024,democrat_2020,0,6
hawaiians,-1.0739411565097154,democrat_2024,democrat_2020,0,6
character,-1.0739411565097154,democrat_2024,democrat_2020,0,6
affordable,-1.0734928354999125,democrat_2024,democrat_2020,15,21
place,-1.0734928354999125,democrat_2024,democrat_2020,15,21
prosperity,-1.0569873924922306,democrat_2024,democrat_2020,10,15
burden,-1.0381607274132258,democrat_2024,democrat_2020,6,10
predatory,-1.0328551165521145,democrat_2024,democrat_2020,0,5
infection,-1.0328551165521145,democrat_2024,democrat_2020,0,5
trauma,-1.0328551165521145,democrat_2024,democrat_2020,0,5
planet,-1.0328551165521145,democrat_2024,democrat_2020,0,5
collection,-1.0328551165521145,democrat_2024,democrat_2020,0,5
depression,-1.0328551165521145,democrat_2024,democrat_2020,0,5
interference,-1.0328551165521145,democrat_2024,democrat_2020,0,5
municipality,-1.0328551165521145,democrat_2024,democrat_2020,0,5
natives,-1.0328551165521145,democrat_2024,democrat_2020,0,5
enrollment,-1.0328551165521145,democrat_2024,democrat_2020,0,5
care,-1.024482372734035,democrat_2024,democrat_2020,156,170
soul,-1.0132335022729015,democrat_2024,democrat_2020,3,6
subsidy,-1.0132335022729015,democrat_2024,democrat_2020,3,6
clinic,-1.0132335022729015,democrat_2024,democrat_2020,3,6
pension,-1.0132335022729015,democrat_2024,democrat_2020,3,6
terrorism,-1.0132335022729015,democrat_2024,democrat_2020,3,6
guam,-1.0132335022729015,democrat_2024,democrat_2020,3,6
religion,-1.0132335022729015,democrat_2024,democrat_2020,3,6
nursing,-1.0132335022729015,democrat_2024,democrat_2020,3,6
origin,-1.0132335022729015,democrat_2024,democrat_2020,3,6
constitution,-1.0132335022729015,democrat_2024,democrat_2020,3,6
agriculture,-0.9877344174729935,democrat_2024,democrat_2020,7,11
proportion,-0.9825504443123739,democrat_2024,democrat_2020,0,4
ethnicity,-0.9825504443123739,democrat_2024,democrat_2020,0,4
islanders,-0.9825504443123739,democrat_2024,democrat_2020,0,4
analysis,-0.9825504443123739,democrat_2024,democrat_2020,0,4
adversary,-0.9825504443123739,democrat_2024,democrat_2020,0,4
currency,-0.9825504443123739,democrat_2024,democrat_2020,0,4
rival,-0.9825504443123739,democrat_2024,democrat_2020,0,4
lack,-0.9825504443123739,democrat_2024,democrat_2020,0,4
sentencing,-0.9825504443123739,democrat_2024,democrat_2020,0,4
who,-0.9825504443123739,democrat_2024,democrat_2020,0,4
raid,-0.9825504443123739,democrat_2024,democrat_2020,0,4
design,-0.9825504443123739,democrat_2024,democrat_2020,0,4
footprint,-0.9825504443123739,democrat_2024,democrat_2020,0,4
lake,-0.9825504443123739,democrat_2024,democrat_2020,0,4
account,-0.9825504443123739,democrat_2024,democrat_2020,0,4
integrity,-0.9825504443123739,democrat_2024,democrat_2020,0,4
manufacturer,-0.9825504443123739,democrat_2024,democrat_2020,0,4
coronavirus,-0.9825504443123739,democrat_2024,democrat_2020,0,4
superior,-0.9825504443123739,democrat_2024,democrat_2020,0,4
neutrality,-0.9825504443123739,democrat_2024,democrat_2020,0,4
cold,-0.9825504443123739,democrat_2024,democrat_2020,0,4
geography,-0.9825504443123739,democrat_2024,democrat_2020,0,4
assessment,-0.9825504443123739,democrat_2024,democrat_2020,0,4
advice,-0.9825504443123739,democrat_2024,democrat_2020,0,4
asia,-0.9825504443123739,democrat_2024,democrat_2020,0,4
gentrification,-0.9825504443123739,democrat_2024,democrat_2020,0,4
one,-0.966368610829999,democrat_2024,democrat_2020,13,18
voting,-0.966368610829999,democrat_2024,democrat_2020,13,18
achievement,-0.9659101073818633,democrat_2024,democrat_2020,1,3
habitat,-0.9659101073818633,democrat_2024,democrat_2020,1,3
retaliation,-0.9659101073818633,democrat_2024,democrat_2020,1,3
privilege,-0.9659101073818633,democrat_2024,democrat_2020,1,3
arbitration,-0.9659101073818633,democrat_2024,democrat_2020,1,3
repair,-0.9659101073818633,democrat_2024,democrat_2020,1,3
stream,-0.9659101073818633,democrat_2024,democrat_2020,1,3
client,-0.9659101073818633,democrat_2024,democrat_2020,1,3
ecosystem,-0.9659101073818633,democrat_2024,democrat_2020,1,3
discipline,-0.9659101073818633,democrat_2024,democrat_2020,1,3
safe,-0.9659101073818633,democrat_2024,democrat_2020,1,3
olmstead,-0.9659101073818633,democrat_2024,democrat_2020,1,3
accessibility,-0.9659101073818633,democrat_2024,democrat_2020,1,3
expertise,-0.9659101073818633,democrat_2024,democrat_2020,1,3
incarceration,-0.9659101073818633,democrat_2024,democrat_2020,1,3
rhetoric,-0.9659101073818633,democrat_2024,democrat_2020,1,3
movement,-0.9659101073818633,democrat_2024,democrat_2020,1,3
harbor,-0.9659101073818633,democrat_2024,democrat_2020,1,3
maria,-0.9659101073818633,democrat_2024,democrat_2020,1,3
mobility,-0.9659101073818633,democrat_2024,democrat_2020,1,3
steward,-0.9659101073818633,democrat_2024,democrat_2020,1,3
admission,-0.9659101073818633,democrat_2024,democrat_2020,1,3
compliance,-0.9659101073818633,democrat_2024,democrat_2020,1,3
renewal,-0.9659101073818633,democrat_2024,democrat_2020,1,3
eviction,-0.9659101073818633,democrat_2024,democrat_2020,1,3
vulnerability,-0.9659101073818633,democrat_2024,democrat_2020,1,3
bargaining,-0.9659101073818633,democrat_2024,democrat_2020,1,3
centers,-0.9659101073818633,democrat_2024,democrat_2020,1,3
chaos,-0.9659101073818633,democrat_2024,democrat_2020,1,3
gay,-0.9659101073818633,democrat_2024,democrat_2020,1,3
foreign,-0.9659101073818633,democrat_2024,democrat_2020,1,3
meeting,-0.9659101073818633,democrat_2024,democrat_2020,1,3
difference,-0.9659101073818633,democrat_2024,democrat_2020,1,3
hero,-0.9659101073818633,democrat_2024,democrat_2020,1,3
norm,-0.9659101073818633,democrat_2024,democrat_2020,1,3
settlement,-0.9659101073818633,democrat_2024,democrat_2020,1,3
water,-0.9520745175209046,democrat_2024,democrat_2020,31,38
immigrant,-0.9448449031083137,democrat_2024,democrat_2020,8,12
class,-0.9418867885682435,democrat_2024,democrat_2020,14,19
corruption,-0.9317358304744205,democrat_2024,democrat_2020,4,7
postal,-0.9317358304744205,democrat_2024,democrat_2020,4,7
amendment,-0.9317358304744205,democrat_2024,democrat_2020,4,7
contact,-0.9176811209261578,democrat_2024,democrat_2020,0,3
variable,-0.9176811209261578,democrat_2024,democrat_2020,0,3
lgbtq,-0.9176811209261578,democrat_2024,democrat_2020,0,3
net,-0.9176811209261578,democrat_2024,democrat_2020,0,3
pathogen,-0.9176811209261578,democrat_2024,democrat_2020,0,3
southeast,-0.9176811209261578,democrat_2024,democrat_2020,0,3
capture,-0.9176811209261578,democrat_2024,democrat_2020,0,3
ssdi,-0.9176811209261578,democrat_2024,democrat_2020,0,3
marine,-0.9176811209261578,democrat_2024,democrat_2020,0,3
payroll,-0.9176811209261578,democrat_2024,democrat_2020,0,3
tactic,-0.9176811209261578,democrat_2024,democrat_2020,0,3
treasure,-0.9176811209261578,democrat_2024,democrat_2020,0,3
ladder,-0.9176811209261578,democrat_2024,democrat_2020,0,3
kleptocrat,-0.9176811209261578,democrat_2024,democrat_2020,0,3
hong,-0.9176811209261578,democrat_2024,democrat_2020,0,3
vibrancy,-0.9176811209261578,democrat_2024,democrat_2020,0,3
kong,-0.9176811209261578,democrat_2024,democrat_2020,0,3
tension,-0.9176811209261578,democrat_2024,democrat_2020,0,3
protestor,-0.9176811209261578,democrat_2024,democrat_2020,0,3
regulator,-0.9176811209261578,democrat_2024,democrat_2020,0,3
tracing,-0.9176811209261578,democrat_2024,democrat_2020,0,3
autism,-0.9176811209261578,democrat_2024,democrat_2020,0,3
autocrat,-0.9176811209261578,democrat_2024,democrat_2020,0,3
downturn,-0.9176811209261578,democrat_2024,democrat_2020,0,3
pace,-0.9176811209261578,democrat_2024,democrat_2020,0,3
disaggregation,-0.9176811209261578,democrat_2024,democrat_2020,0,3
availability,-0.9176811209261578,democrat_2024,democrat_2020,0,3
page,-0.9176811209261578,democrat_2024,democrat_2020,0,3
prerequisite,-0.9176811209261578,democrat_2024,democrat_2020,0,3
evaluation,-0.9176811209261578,democrat_2024,democrat_2020,0,3
beginning,-0.9176811209261578,democrat_2024,democrat_2020,0,3
universal,-0.9176811209261578,democrat_2024,democrat_2020,0,3
exemption,-0.9176811209261578,democrat_2024,democrat_2020,0,3
administrator,-0.9176811209261578,democrat_2024,democrat_2020,0,3
jcpoa,-0.9176811209261578,democrat_2024,democrat_2020,0,3
consent,-0.9176811209261578,democrat_2024,democrat_2020,0,3
graduate,-0.9176811209261578,democrat_2024,democrat_2020,0,3
intimidation,-0.9176811209261578,democrat_2024,democrat_2020,0,3
hurricanes,-0.9176811209261578,democrat_2024,democrat_2020,0,3
torture,-0.9176811209261578,democrat_2024,democrat_2020,0,3
behalf,-0.9176811209261578,democrat_2024,democrat_2020,0,3
usaid,-0.9176811209261578,democrat_2024,democrat_2020,0,3
irma,-0.9176811209261578,democrat_2024,democrat_2020,0,3
statute,-0.9176811209261578,democrat_2024,democrat_2020,0,3
attention,-0.9176811209261578,democrat_2024,democrat_2020,0,3
innovator,-0.9176811209261578,democrat_2024,democrat_2020,0,3
registration,-0.9176811209261578,democrat_2024,democrat_2020,0,3
