term,log_odds,corpus 1,corpus 2,count 1,count 2
deny,-6.3643611387154975,trump,harris,8,36
project,-6.348269518788502,trump,harris,17,40
afford,-6.345094390156742,trump,harris,33,51
price,-6.345094390156742,trump,harris,33,51
pledge,-6.337162984329501,trump,harris,0,38
joe biden,-6.326950736654003,trump,harris,88,86
women,-6.3187462078762335,trump,harris,151,122
work hard,-6.275836885672007,trump,harris,8,35
generations,-6.275836885672007,trump,harris,8,35
afternoon,-6.270988415032997,trump,harris,0,37
address,-6.221679310441399,trump,harris,0,39
pass,-6.221298341527243,trump,harris,42,56
openly,-6.2202413199318105,trump,harris,0,35
deeply,-6.210525157565748,trump,harris,0,45
roe wade,-6.202963081770238,trump,harris,0,36
let talk,-6.1784868895472,trump,harris,7,34
start,-6.168604628599873,trump,harris,101,92
national security,-6.1643494983088205,trump,harris,0,38
proudly,-6.1643494983088205,trump,harris,0,38
values,-6.1231456457122935,trump,harris,17,38
past,-6.112232419314267,trump,harris,36,51
country love,-6.086060534613254,trump,harris,11,34
private,-6.086060534613254,trump,harris,11,34
intends,-6.060465712023914,trump,harris,0,57
create,-6.036007844634022,trump,harris,21,40
majority,-6.030003908511635,trump,harris,10,33
build,-5.992179059916623,trump,harris,177,132
issues,-5.978658987218289,trump,harris,0,54
corporations,-5.939930972691974,trump,harris,0,39
ready,-5.89440114940517,trump,harris,82,78
drugs,-5.878984457322227,trump,harris,36,49
impact,-5.844935792615559,trump,harris,13,33
pride,-5.844935792615559,trump,harris,13,33
course,-5.84477084722988,trump,harris,44,54
decision,-5.841541260626703,trump,harris,19,37
highest,-5.8408079818450105,trump,harris,41,52
fundamental,-5.831281525657069,trump,harris,0,49
election,-5.828463133280355,trump,harris,277,181
owners,-5.810363936310604,trump,harris,7,30
prices,-5.793257841856582,trump,harris,94,84
high,-5.7683056471332605,trump,harris,74,72
turn page,-5.767926275844672,trump,harris,0,47
telling,-5.760573813004032,trump,harris,39,50
freedoms,-5.735195302495975,trump,harris,0,46
health,-5.726299455272014,trump,harris,16,34
answer question,-5.713559245289768,trump,harris,0,31
served,-5.707441423923275,trump,harris,0,29
role,-5.707441423923275,trump,harris,0,29
nevada,-5.687742748121167,trump,harris,28,42
members,-5.686409955054575,trump,harris,77,73
evening,-5.682108443458798,trump,harris,40,50
bless,-5.672974933413145,trump,harris,51,57
provide,-5.665117260697889,trump,harris,0,29
knowing,-5.622334968693027,trump,harris,0,33
red,-5.602170168622975,trump,harris,29,42
raised,-5.600719690492631,trump,harris,16,33
school,-5.589258067204739,trump,harris,82,75
senate,-5.569325662929724,trump,harris,25,39
protections,-5.563639883775729,trump,harris,0,32
fought,-5.560485944382223,trump,harris,15,32
god bless,-5.557741978789085,trump,harris,51,56
common,-5.533584972409981,trump,harris,66,65
value,-5.512109914603711,trump,harris,11,29
checks,-5.501256222027135,trump,harris,7,27
investing,-5.483145961297763,trump,harris,0,39
ideas,-5.471848868440765,trump,harris,16,32
democracy,-5.467797331470132,trump,harris,67,65
fear,-5.463741771592814,trump,harris,8,27
chief,-5.462065399540938,trump,harris,10,28
sexual,-5.409999734505345,trump,harris,0,26
teachers,-5.406475076277539,trump,harris,0,27
ensure,-5.393141903425614,trump,harris,0,26
working people,-5.393141903425614,trump,harris,0,26
bipartisan,-5.375488444418162,trump,harris,0,29
sales,-5.375488444418162,trump,harris,0,29
deduction,-5.375488444418162,trump,harris,0,29
allies,-5.3684991422098,trump,harris,20,34
joe,-5.361942096088332,trump,harris,224,148
assault,-5.35792622863474,trump,harris,23,36
rule law,-5.308281952761737,trump,harris,0,28
century,-5.303317537105283,trump,harris,0,25
truly,-5.302900046812388,trump,harris,12,28
incest,-5.295467895668898,trump,harris,0,25
recognize,-5.295467895668898,trump,harris,0,25
talked,-5.292831771160588,trump,harris,45,50
manufacturing jobs,-5.286665394570931,trump,harris,18,32
states congress,-5.27254787287928,trump,harris,0,34
living,-5.2600723464370684,trump,harris,27,38
crisis,-5.256065376713647,trump,harris,14,29
race,-5.246117701857228,trump,harris,67,63
conversation,-5.235105418289331,trump,harris,0,25
intend,-5.226588603759871,trump,harris,0,33
going going,-5.186026506559061,trump,harris,116,90
ahead,-5.180221381251538,trump,harris,37,44
fixing,-5.179163811628418,trump,harris,0,32
states senator,-5.179163811628418,trump,harris,0,32
team,-5.1688310533233075,trump,harris,12,27
protecting,-5.1688310533233075,trump,harris,12,27
general california,-5.1661320854891235,trump,harris,0,26
medical,-5.144147415278241,trump,harris,0,24
profit,-5.144147415278241,trump,harris,0,24
rule,-5.118563133785682,trump,harris,14,28
corporate,-5.098421257790023,trump,harris,8,24
grew,-5.098421257790023,trump,harris,8,24
working families,-5.087923995407693,trump,harris,0,23
communities,-5.082239052745408,trump,harris,32,40
human,-5.079648802269456,trump,harris,29,38
banks,-5.0492882795326945,trump,harris,0,23
existing,-5.02710074416145,trump,harris,0,29
states senate,-5.02710074416145,trump,harris,0,29
extreme,-5.012289170611584,trump,harris,0,24
finally,-4.988092059574513,trump,harris,27,36
buy,-4.977227863427903,trump,harris,87,72
prescription,-4.956350878160155,trump,harris,0,52
senator,-4.95156619991293,trump,harris,75,65
comes,-4.93451269557447,trump,harris,53,52
human beings,-4.930370839413272,trump,harris,0,23
beings,-4.930370839413272,trump,harris,0,23
faith,-4.930370839413272,trump,harris,0,23
seniors,-4.914892006008039,trump,harris,60,56
high school,-4.904124816894839,trump,harris,7,22
yes,-4.895079690828921,trump,harris,83,69
stand,-4.888505493863628,trump,harris,139,99
instead,-4.8875009548682025,trump,harris,57,54
historic,-4.861795289707898,trump,harris,0,21
universal,-4.861795289707898,trump,harris,0,21
rape incest,-4.861795289707898,trump,harris,0,21
hands,-4.853462494500359,trump,harris,21,31
days election,-4.8464842468710385,trump,harris,0,21
sadly,-4.8464842468710385,trump,harris,0,21
invite,-4.844731838078181,trump,harris,0,22
intention,-4.844731838078181,trump,harris,0,22
lifting,-4.844731838078181,trump,harris,0,22
million americans,-4.844731838078181,trump,harris,0,22
goal,-4.8407510318513784,trump,harris,11,24
cause,-4.8407510318513784,trump,harris,11,24
defend,-4.839480842947485,trump,harris,46,47
prosecuted,-4.830654114130657,trump,harris,14,26
union,-4.820616176797861,trump,harris,35,40
immigration,-4.820616176797861,trump,harris,35,40
live,-4.81127249129531,trump,harris,53,51
economists,-4.79683638448187,trump,harris,0,25
dear,-4.79683638448187,trump,harris,0,25
bless god,-4.771971324722505,trump,harris,16,27
patriotism,-4.755030951999529,trump,harris,0,21
trust,-4.755030951999529,trump,harris,0,21
trump president,-4.74210856936957,trump,harris,9,22
seriously,-4.74210856936957,trump,harris,9,22
joy,-4.740719084657278,trump,harris,0,20
think means,-4.740719084657278,trump,harris,0,20
rhetoric,-4.737730890437923,trump,harris,0,20
ambition,-4.733297616794394,trump,harris,0,24
insulin,-4.733297616794394,trump,harris,0,24
entrepreneurs,-4.733297616794394,trump,harris,0,24
supporting,-4.699029369717071,trump,harris,0,20
seat,-4.691918363778204,trump,harris,11,23
democratic,-4.691918363778204,trump,harris,11,23
supported,-4.688062487583006,trump,harris,8,21
negotiate,-4.679734727837577,trump,harris,14,25
question,-4.6355083765294705,trump,harris,91,71
quote,-4.63296687333103,trump,harris,13,24
agents,-4.628694102123604,trump,harris,7,20
duty,-4.6234420154700615,trump,harris,0,19
measure,-4.621500820360248,trump,harris,0,38
stage,-4.614869096982448,trump,harris,39,41
regardless,-4.613631431765542,trump,harris,0,19
personal,-4.6093824458850605,trump,harris,19,28
going forward,-4.597578592333749,trump,harris,0,22
everyday,-4.592899637205584,trump,harris,0,37
tired,-4.585603887607227,trump,harris,12,23
workers,-4.565126992365758,trump,harris,111,81
states supreme,-4.563492022093527,trump,harris,0,36
organizations,-4.56182912421411,trump,harris,0,19
people america,-4.56182912421411,trump,harris,0,19
staff,-4.539368127945889,trump,harris,8,20
result,-4.537439831270178,trump,harris,11,22
cancer,-4.524861580301598,trump,harris,0,21
understands,-4.523793083755113,trump,harris,14,24
deserve,-4.515198695147254,trump,harris,29,34
feel,-4.509383344232224,trump,harris,37,39
earned,-4.503053137943593,trump,harris,0,18
abandon,-4.503053137943593,trump,harris,0,18
self,-4.503053137943593,trump,harris,0,18
hours,-4.502930676210434,trump,harris,23,30
turn,-4.486268807379862,trump,harris,88,68
zelensky,-4.479939607214369,trump,harris,0,18
vast majority,-4.479939607214369,trump,harris,0,18
president said,-4.479939607214369,trump,harris,0,18
achieve,-4.457365957488992,trump,harris,0,18
million new,-4.457365957488992,trump,harris,0,18
class families,-4.457365957488992,trump,harris,0,18
sacred,-4.457365957488992,trump,harris,0,18
carrying,-4.457365957488992,trump,harris,0,18
security medicare,-4.45388386122054,trump,harris,19,27
good work,-4.436804709922467,trump,harris,0,32
voices,-4.436804709922467,trump,harris,0,32
deficit,-4.426468102444382,trump,harris,12,22
room,-4.406723976196457,trump,harris,71,58
lift,-4.402958259986199,trump,harris,18,26
sector,-4.402579067529997,trump,harris,0,31
solutions,-4.402579067529997,trump,harris,0,31
believe freedom,-4.402579067529997,trump,harris,0,31
unions,-4.401619140336482,trump,harris,24,30
tight,-4.375911593763032,trump,harris,0,17
ready make,-4.375911593763032,trump,harris,0,17
known,-4.3575761949338485,trump,harris,54,48
voice,-4.351662905526761,trump,harris,17,25
responsibility,-4.346890103626704,trump,harris,0,17
conditions,-4.330575270163099,trump,harris,0,29
insurance companies,-4.330575270163099,trump,harris,0,29
groceries,-4.327414121846682,trump,harris,31,34
vast,-4.326713299112081,trump,harris,7,18
calling,-4.311923365617081,trump,harris,28,32
grow,-4.2939678561708305,trump,harris,19,26
work good,-4.292628178428097,trump,harris,0,28
win november,-4.283178096502313,trump,harris,0,18
immune,-4.283178096502313,trump,harris,0,18
share,-4.274691597581573,trump,harris,9,19
clean,-4.265494806912234,trump,harris,57,49
private sector,-4.253256130381898,trump,harris,0,27
israel,-4.248569218179674,trump,harris,119,82
clock,-4.24796279750438,trump,harris,15,23
rent,-4.24796279750438,trump,harris,15,23
friends,-4.246879777134632,trump,harris,52,46
vegas,-4.241257594923295,trump,harris,0,16
tax cut,-4.240587953275659,trump,harris,18,25
homes,-4.23995149263783,trump,harris,21,27
owner,-4.229699749232257,trump,harris,0,16
optimism,-4.229699749232257,trump,harris,0,16
fought hard,-4.229699749232257,trump,harris,0,16
means,-4.229163362112195,trump,harris,100,72
serve,-4.209861375006325,trump,harris,11,20
stability,-4.193302453132706,trump,harris,0,17
fellow,-4.193302453132706,trump,harris,0,17
president donald,-4.193302453132706,trump,harris,0,17
cut social,-4.193302453132706,trump,harris,0,17
denied,-4.189909310068152,trump,harris,0,16
arizona,-4.177192515679423,trump,harris,31,33
tax deduction,-4.169784455786842,trump,harris,0,25
deny people,-4.169784455786842,trump,harris,0,25
transnational,-4.169784455786842,trump,harris,0,25
josh,-4.16418662617969,trump,harris,7,17
just say,-4.129401742014651,trump,harris,19,25
border security,-4.125423531267496,trump,harris,0,24
respond,-4.125423531267496,trump,harris,0,24
prescription drugs,-4.125423531267496,trump,harris,0,24
want president,-4.102349185297985,trump,harris,6,16
commitment,-4.0982000060321795,trump,harris,0,15
consumers,-4.0982000060321795,trump,harris,0,15
assistance,-4.09784002325844,trump,harris,0,16
mob,-4.09784002325844,trump,harris,0,16
agree,-4.096144968178766,trump,harris,47,42
offering,-4.089515803214,trump,harris,12,20
agenda,-4.085532212348059,trump,harris,24,28
business owners,-4.079110275746649,trump,harris,0,23
sign,-4.056686285718479,trump,harris,69,54
possible,-4.037525050120565,trump,harris,46,41
stands,-4.031862483825405,trump,harris,0,15
payment,-4.030667415440079,trump,harris,0,22
debt,-4.024659824634531,trump,harris,41,38
listen,-3.997514462648333,trump,harris,50,43
active,-3.996076174243759,trump,harris,0,15
witnessing,-3.996076174243759,trump,harris,0,15
growing,-3.996076174243759,trump,harris,0,15
make decision,-3.996076174243759,trump,harris,0,15
cost housing,-3.996076174243759,trump,harris,0,15
rely,-3.9929445099084298,trump,harris,7,16
competition,-3.9929445099084298,trump,harris,7,16
cares,-3.9814979620581763,trump,harris,10,18
privilege,-3.9814979620581763,trump,harris,10,18
child care,-3.979892630630682,trump,harris,0,21
clearly,-3.9717024832592243,trump,harris,0,14
reasonable,-3.9717024832592243,trump,harris,0,14
able buy,-3.9717024832592243,trump,harris,0,14
uphold,-3.9717024832592243,trump,harris,0,14
fight fight,-3.9599354794901656,trump,harris,19,24
breaks,-3.945685000841942,trump,harris,0,14
constantly,-3.945685000841942,trump,harris,0,14
facing,-3.945685000841942,trump,harris,0,14
district attorney,-3.945685000841942,trump,harris,0,14
experienced,-3.945685000841942,trump,harris,0,14
bret,-3.926553641641423,trump,harris,0,20
ambitions,-3.926553641641423,trump,harris,0,20
talk,-3.9062772839779547,trump,harris,243,138
trump tax,-3.8871531754640376,trump,harris,0,14
versus,-3.8871531754640376,trump,harris,0,14
discussion,-3.8871531754640376,trump,harris,0,14
conversations,-3.8871531754640376,trump,harris,0,14
roles,-3.8871531754640376,trump,harris,0,14
kinds,-3.8871531754640376,trump,harris,0,14
entire career,-3.8871531754640376,trump,harris,0,14
world leaders,-3.8871531754640376,trump,harris,0,14
win win,-3.879060002612098,trump,harris,26,28
focusing,-3.870382035286526,trump,harris,0,19
backward,-3.870382035286526,trump,harris,0,19
drugs human,-3.870382035286526,trump,harris,0,19
old tired,-3.870382035286526,trump,harris,0,19
friendship,-3.870382035286526,trump,harris,0,19
type,-3.863742114405396,trump,harris,0,14
contrast,-3.863742114405396,trump,harris,0,14
millions americans,-3.863742114405396,trump,harris,0,14
ultimately,-3.8430283649098516,trump,harris,14,20
basic,-3.8430283649098516,trump,harris,14,20
oath,-3.8430283649098516,trump,harris,14,20
st,-3.828720176840429,trump,harris,0,13
exceptions rape,-3.828720176840429,trump,harris,0,13
make mistake,-3.828720176840429,trump,harris,0,13
grateful,-3.828720176840429,trump,harris,0,13
harm,-3.828720176840429,trump,harris,0,13
nurses,-3.811065425619293,trump,harris,0,18
hold hold,-3.811065425619293,trump,harris,0,18
just ahead,-3.811065425619293,trump,harris,0,18
divide,-3.811065425619293,trump,harris,0,18
remember like,-3.811065425619293,trump,harris,0,18
hand,-3.798572848458696,trump,harris,49,41
oh good,-3.797027882751826,trump,harris,10,17
wealth,-3.7943965559806294,trump,harris,42,37
ballot,-3.7853001087546243,trump,harris,19,23
certainly,-3.784033849117804,trump,harris,13,19
st century,-3.770029965116839,trump,harris,0,13
know common,-3.770029965116839,trump,harris,0,13
elected president,-3.770029965116839,trump,harris,0,13
victim,-3.770029965116839,trump,harris,0,13
supply,-3.7509317591218063,trump,harris,0,14
cooper,-3.7509317591218063,trump,harris,0,14
don let,-3.7509317591218063,trump,harris,0,14
say know,-3.7509317591218063,trump,harris,0,14
class working,-3.7482373820399064,trump,harris,0,17
economy american,-3.7482373820399064,trump,harris,0,17
nurse,-3.7482373820399064,trump,harris,0,17
meet,-3.7422522943959926,trump,harris,34,32
america america,-3.7392266338191544,trump,harris,9,16
pandemic,-3.7392266338191544,trump,harris,9,16
today,-3.733786651117628,trump,harris,177,105
just look,-3.72447033318527,trump,harris,12,18
black,-3.70218343505673,trump,harris,84,59
helped,-3.6888765387329205,trump,harris,23,25
congresswoman,-3.684270765181416,trump,harris,0,13
creating,-3.684270765181416,trump,harris,0,13
table,-3.684270765181416,trump,harris,0,13
survivor,-3.6814643203233874,trump,harris,0,16
beliefs,-3.6814643203233874,trump,harris,0,16
voting rights,-3.6814643203233874,trump,harris,0,16
loan,-3.6814643203233874,trump,harris,0,16
expand,-3.6814643203233874,trump,harris,0,16
engage,-3.6814643203233874,trump,harris,0,16
gaza,-3.6814643203233874,trump,harris,0,16
childcare,-3.6814643203233874,trump,harris,0,16
government tell,-3.6814643203233874,trump,harris,0,16
choose,-3.6814643203233874,trump,harris,0,16
remind,-3.6814643203233874,trump,harris,0,16
flint,-3.674573115654709,trump,harris,0,12
representative,-3.674573115654709,trump,harris,0,12
eliminate,-3.674573115654709,trump,harris,0,12
guns away,-3.674573115654709,trump,harris,0,12
president actually,-3.674573115654709,trump,harris,0,12
oval office,-3.656602040913344,trump,harris,14,19
oval,-3.656602040913344,trump,harris,14,19
focus,-3.656602040913344,trump,harris,14,19
able,-3.6462517907373146,trump,harris,158,95
grounded,-3.6434269189115156,trump,harris,0,12
flow,-3.6434269189115156,trump,harris,0,12
believe american,-3.6434269189115156,trump,harris,0,12
offer,-3.6434269189115156,trump,harris,0,12
free fair,-3.6434269189115156,trump,harris,0,12
going hear,-3.6434269189115156,trump,harris,0,12
weaponize,-3.6434269189115156,trump,harris,0,12
like hard,-3.6434269189115156,trump,harris,0,12
client,-3.6434269189115156,trump,harris,0,12
right make,-3.6434269189115156,trump,harris,0,12
survivors,-3.6434269189115156,trump,harris,0,12
particular,-3.628574369553589,trump,harris,53,42
worked,-3.628342787933424,trump,harris,101,67
bunch,-3.620517131341944,trump,harris,7,14
concept,-3.620517131341944,trump,harris,7,14
accountable,-3.620517131341944,trump,harris,7,14
