term,log_odds,corpus 1,corpus 2,count 1,count 2
donald,-22.71535529217182,trump,harris,70,467
trump,-22.397920298106886,trump,harris,331,566
work,-20.5388048007553,trump,harris,193,419
president,-20.05604212319591,trump,harris,636,694
fight,-17.297324521325894,trump,harris,104,277
states,-16.70457018946601,trump,harris,405,460
plan,-16.482763329236345,trump,harris,61,237
united,-16.323948379263378,trump,harris,337,408
freedom,-15.524529697208619,trump,harris,25,238
americans,-14.969581698784113,trump,harris,90,215
america,-14.560242919432003,trump,harris,561,500
future,-14.277529396493751,trump,harris,46,178
class,-13.859762344324299,trump,harris,48,169
economy,-13.250071813970159,trump,harris,116,199
opportunity,-13.172039123328302,trump,harris,24,157
need,-12.97829775038921,trump,harris,222,264
leaders,-12.755317857677682,trump,harris,36,142
middle,-12.191539603346394,trump,harris,121,184
small,-11.874133716405783,trump,harris,86,155
understand,-11.439358233119442,trump,harris,105,161
american,-11.391061676747787,trump,harris,412,345
families,-11.37810761321706,trump,harris,77,141
forward,-11.182058500704686,trump,harris,31,110
affordable,-11.180107203367106,trump,harris,24,109
act,-11.12264684321387,trump,harris,38,112
including,-11.116341359093834,trump,harris,120,166
vice,-10.999664121960501,trump,harris,84,140
security,-10.966013220603559,trump,harris,122,165
point,-10.81923607092618,trump,harris,51,115
nation,-10.794742607337263,trump,harris,165,190
attorney,-10.743301225604872,trump,harris,40,107
clear,-10.70424460813051,trump,harris,8,142
cost,-10.617727937847292,trump,harris,82,133
home,-10.608327016023557,trump,harris,69,124
believe,-10.488033997072606,trump,harris,350,293
businesses,-10.366036961578697,trump,harris,52,109
terms,-10.216253963392765,trump,harris,33,95
general,-10.211505126124738,trump,harris,67,117
national,-9.938048384700782,trump,harris,46,99
let,-9.937272987752076,trump,harris,592,409
healthcare,-9.873533622341052,trump,harris,19,85
care,-9.809202456947574,trump,harris,154,168
working,-9.755118602336584,trump,harris,114,142
campaign,-9.591207148896158,trump,harris,41,91
tim,-9.564582068531823,trump,harris,32,85
child,-9.554818477266181,trump,harris,58,102
congress,-9.375436247093965,trump,harris,57,99
walz,-9.362590115456198,trump,harris,7,99
abortion,-9.275256352560662,trump,harris,17,75
housing,-9.267037743022929,trump,harris,19,75
issue,-9.166617380111045,trump,harris,21,74
promise,-9.101166832634522,trump,harris,37,82
power,-8.994195966595631,trump,harris,67,101
court,-8.77383684873406,trump,harris,26,71
elected,-8.758940962285747,trump,harris,55,90
leader,-8.602260850468287,trump,harris,46,82
based,-8.495320123900992,trump,harris,30,70
page,-8.479066198365484,trump,harris,10,65
law,-8.381010236637222,trump,harris,126,131
public,-8.295385135758288,trump,harris,29,67
rights,-8.27557414997869,trump,harris,12,60
continue,-8.14756564013981,trump,harris,18,59
help,-8.1324098160988,trump,harris,105,115
strength,-8.0884885740545,trump,harris,37,70
dignity,-8.071242453070559,trump,harris,20,59
ability,-7.989973278297106,trump,harris,11,56
body,-7.956432882461586,trump,harris,7,61
career,-7.815495728358842,trump,harris,25,59
laws,-7.797016116323163,trump,harris,12,53
support,-7.7405382683480335,trump,harris,68,87
children,-7.690994701140426,trump,harris,99,106
kind,-7.610486867268919,trump,harris,46,71
hard,-7.532962465761062,trump,harris,155,137
ban,-7.5123821530032835,trump,harris,49,72
needs,-7.509260114110149,trump,harris,15,50
coach,-7.488341287039663,trump,harris,7,52
plans,-7.415449763919246,trump,harris,12,48
extraordinary,-7.397589502388309,trump,harris,8,49
strengthen,-7.229352488026999,trump,harris,19,49
medicare,-7.186644987927871,trump,harris,45,66
community,-7.16412360674092,trump,harris,35,59
constitution,-7.138396892657705,trump,harris,4,58
economic,-7.106988442975916,trump,harris,21,49
students,-7.106377382961384,trump,harris,16,46
includes,-7.10481568191801,trump,harris,14,45
labor,-7.099852977342093,trump,harris,11,44
violence,-7.015226661305562,trump,harris,11,43
example,-7.00046511570716,trump,harris,30,54
leadership,-6.995247339266381,trump,harris,33,56
days,-6.977072916409837,trump,harris,125,113
insurance,-6.89876061011097,trump,harris,6,44
gun,-6.8836967076310405,trump,harris,51,67
mother,-6.882037317486091,trump,harris,39,59
access,-6.769596471693984,trump,harris,10,40
folks,-6.76378597285097,trump,harris,0,89
behalf,-6.694406811249497,trump,harris,5,43
decisions,-6.694406811249497,trump,harris,5,43
prosecutor,-6.636121972496505,trump,harris,5,42
background,-6.576394708572695,trump,harris,5,41
dreams,-6.576394708572695,trump,harris,5,41
resources,-6.57339508246083,trump,harris,13,39
understanding,-6.559072072391418,trump,harris,3,53
supreme,-6.546070313044712,trump,harris,20,43
hold,-6.53929868540077,trump,harris,26,47
women,-6.516786189567097,trump,harris,151,122
roe,-6.5151541540967655,trump,harris,5,40
rules,-6.513723205012916,trump,harris,9,37
lower,-6.467932383960404,trump,harris,24,45
